x,y,word,cluster
1.6047635801808682,-0.4717276598908414,در,
0.3937646922303184,-0.0194215435253102,و,
1.4367652455221616,-0.6880650172713332,<NUM>,
0.5784145919432122,0.0043569604364069,به,
0.4258661075078169,-0.0432646381920021,از,
0.9592473111594572,0.3625824227545814,که,
0.9894818321711006,0.4324530518027499,است,
0.6259812422221849,0.0702335084940072,این,
0.5765233505800051,0.3116308297143313,را,
0.4805271669568681,-0.1682743383037475,با,
1.927206101939967,0.6650952050502771,یک,
1.5025820668054235,-1.149207452433965,سال,
0.7286417152640884,0.5595010090287301,آن,
1.1131766741017295,0.220079727001487,برای,
1.5758118604747426,-1.439988241713919,شد,
1.107029453851806,-1.196701271481858,بود,
0.3964377935554659,-1.244338905498436,ایران,
0.6639265133103552,1.31074576070892,دارد,
-0.0174403088649488,-0.3487538683849827,او,
0.8711022213389132,-0.1328903679000961,بر,
1.8958257002034915,0.2862702407874806,شده‌است,
0.7291517816936832,0.3683479245890848,شده,
0.7951890673739513,1.1813256809527188,می‌شود,
0.9871508983000522,-0.7816288649637158,کرد,
0.3785795647852411,1.2068249710790393,یا,
1.2091856586278105,0.0916292782318703,تا,
0.3363934280939701,0.0161641428229291,خود,
3.166863505451052,-1.4744921398167203,میلادی,
1.2546179101144166,0.3348179364336616,واقع,
2.1325137571416404,-0.1701152273783038,فهرست,
0.5732429706771295,0.6675288809476262,شهرستان,
1.0714528636784657,0.7783188447153744,قرار,
-0.0598853214414868,0.7165468790181195,نام,
1.4076742241244182,1.0071544494282736,جمعیت,
1.1118157331294696,0.966910382014448,نفر,
1.4439917218400131,-0.4778522256554882,شهر,
0.3378814332977119,-0.0618168478749287,نیز,
-0.0193019363368745,-1.1003744479110011,وی,
0.9685277039240984,0.9491043287255102,دو,اعداد
3.295174404720754,-0.5775330620377036,آمریکا,کشورها
0.2255481198499929,0.7314878420459494,بخش,
0.377729396206618,0.0415200365923562,یکی,
0.2941014647711029,-0.4610181869795009,استان,
0.3880339311232309,-0.8612175604481842,پس,
2.054693974247623,-0.4178734009307651,شهرهای,
1.965762846387341,-1.7484723089558585,اهل,
0.7283279513235371,-0.0942069936213096,عنوان,
1.6965896048719538,-1.2835703798425542,ملی,
0.4114389740508472,0.7486604033651889,می‌کند,
3.295132342873043,-0.7373654619289045,متحده,
2.875100806804995,-0.8427216737831799,کشور,
3.342241700279843,-0.5266155388446481,ایالات,
1.010846534487709,0.9884911798041568,استفاده,
0.6399457988625125,1.4914939490123813,فیلم,
0.906223674865416,-0.9084168913639156,توسط,
0.1170511110457116,0.4868966342946763,دیگر,
0.1838717951222424,0.8697923539412861,هم,
0.5217289603521265,0.5195993317050409,می‌باشد,
0.8245030555025029,1.3827365165808398,هر,
2.091369303947632,-1.4875446781435606,فوتبال,
0.7688335807423199,-1.3747475084571572,تاریخ,
0.2954480812628462,0.3603065735668843,بوده‌است,
1.8630532396584767,0.5459096132184648,منطقه,
0.5987878356547787,0.3217251145450101,اما,
0.3935033172009366,-0.0757774164088891,همچنین,
0.5471040351626943,-0.1035989205537494,کار,
-0.6484501574096132,1.2193682948911686,روستا,
-0.4009997266404312,-2.2237098725779805,زاده,
0.6387586758796797,0.1655198846537062,مورد,
0.2872288461820554,1.1202497913448484,وجود,
0.6573339735797212,0.99305262815371,صورت,
1.6919204357005575,-0.7071330075073664,شرکت,
0.5507883963334078,0.7530940651066381,روی,
1.1374128635785017,0.4061368937245062,بازی,
0.1702149317963664,1.3616261757801102,هستند,
0.3644987530790208,1.322208030575159,آن‌ها,
0.6861506948969452,0.1813950212538785,مرکز,
-0.3141131948676041,-0.2023595919161996,آثار,
0.1263383550089256,1.0323238340639165,باشد,
0.0391303727300387,-0.4175015595667816,دوره,
0.4737619607827459,-0.0795391628010243,مرکزی,
-0.5413075755255097,0.9261274665007632,نقش,
0.5174755269544941,-0.5710830076437575,زمان,
0.0038765588937916,1.0117389609258187,می‌توان,
-0.2865755325821666,1.2998912398933875,دهستان,
0.3180268038296587,0.9920638377100864,زیر,
0.4995917128136857,-0.4331823508354258,داشت,
0.8757511339161551,1.0074668732108774,سطح,
0.3130377940198884,0.4280429304650477,دست,
0.8946870984861265,-1.60085492020709,دانشگاه,
0.6902233980685224,1.3065491837486287,سرشماری,
1.2071587209306651,0.4564915754817323,بین,
1.751240876400512,-0.6940708636556366,تیم,
0.5537808333874933,-0.4724512772262563,بعد,
0.4652651742159153,0.6467336285391625,زبان,
0.2036119145101911,0.715940747971731,اشاره,
0.9169378078752553,-0.6146354392585021,داد,
1.3453086616637189,-0.1658524585094085,فرودگاه,
0.3769561480960706,1.304109884493546,دارای,
0.8420158822515841,-0.8796807881413902,سازمان,
0.9259110295483052,2.2096997183099067,متر,
-0.6924270952122096,-0.1827203493451562,کتاب,
-0.9126872309867674,-1.897067465501743,تهران,
0.7445224867126501,0.3920220472740559,کند,
-0.1920617421202771,0.064900704719794,اثر,
1.2291387818616153,-0.003004147633971,انجام,
0.559455641240221,-0.0643207938558396,کرده,
0.3934827448392983,1.574240438445066,می‌کنند,
0.544682796976141,0.1296316922973909,گروه,
3.539438506516096,-1.6069197096557783,آلمان,کشورها
0.6847793615482185,0.1941586496051183,پیش,
0.0407283857288999,1.0591066426260125,داشته,
0.3212092973736026,1.2098845637046298,سه,اعداد
1.569715576513116,1.1016668135308287,کیلومتر,
1.6882171569798443,0.20871524862121,انگلیسی,
0.5000236782911736,-0.467117396115388,اول,
0.9119172049438056,0.6235726955988428,شود,
0.5794215609138987,0.0624566472691877,ثبت,
